body_length,observation_count,cap_degree,unique_permutations,exhaustive_feasible,exact_rational_arithmetic_used,exhaustive_min,exhaustive_max,exhaustive_range,exhaustive_exact_min,exhaustive_exact_max,exhaustive_exact_range,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,mismatch_if_both_available
7,2,1,36,True,True,100.1,142.1,42.0,1001/10,1421/10,42,36,100.1,142.1,42.0,1001/10,1421/10,42,False
7,2,2,36,True,True,3593.59,5101.39,1507.8,359359/100,510139/100,7539/5,36,3593.59,5101.39,1507.8,359359/100,510139/100,7539/5,False
7,2,3,36,True,True,145181.036,206096.156,60915.12,36295259/250,51524039/250,1522878/25,36,145181.036,206096.156,60915.12,36295259/250,51524039/250,1522878/25,False
7,2,4,36,True,True,6547664.7236,9294936.6356,2747271.912,16369161809/2500,23237341589/2500,343408989/125,36,6547664.7236,9294936.6356,2747271.912,16369161809/2500,23237341589/2500,343408989/125,False
7,2,5,36,True,True,327383236.18,464746831.78,137363595.6,16369161809/50,23237341589/50,686817978/5,36,327383236.18,464746831.78,137363595.6,16369161809/50,23237341589/50,686817978/5,False
7,3,1,120,True,True,100.1,163.1,63.0,1001/10,1631/10,63,120,100.1,163.1,63.0,1001/10,1631/10,63,False
7,3,2,120,True,True,4294.29,6996.99,2702.7,429429/100,699699/100,27027/10,120,4294.29,6996.99,2702.7,429429/100,699699/100,27027/10,False
7,3,3,120,True,True,207843.636,338654.316,130810.68,51960909/250,84663579/250,3270267/25,120,207843.636,338654.316,130810.68,51960909/250,84663579/250,3270267/25,False
7,3,4,120,True,True,11244340.7076,18321198.4956,7076857.788,28110851769/2500,45802996239/2500,1769214447/250,120,11244340.7076,18321198.4956,7076857.788,28110851769/2500,45802996239/2500,1769214447/250,False
7,3,5,120,True,True,674660442.456,1099271909.736,424611467.28,84332555307/125,137408988717/125,10615286682/25,120,674660442.456,1099271909.736,424611467.28,84332555307/125,137408988717/125,10615286682/25,False
